序号,一级分类,二级分类,接口名称,接口路径
1,,,接口更新日志,https://apidoc.lingxing.com/#/docs/ApiUpdateLog
2,,,Token生成测试,https://apidoc.lingxing.com/#/docs/TestToken/Token
3,,,接口签名生成测试,https://apidoc.lingxing.com/#/docs/TestSign/signature
4,,,在线请求测试,https://apidoc.lingxing.com/#/docs/TestRequest/TestRequest
5,接入指引,,API信息的查询与配置,https://apidoc.lingxing.com/#/docs/Guidance/AppID
6,接入指引,,领星 API 接入指南,https://apidoc.lingxing.com/#/docs/Guidance/newInstructions
7,接入指引,,常见问题案例,https://apidoc.lingxing.com/#/docs/Guidance/QA
8,接入指引,,全局错误码说明,https://apidoc.lingxing.com/#/docs/Guidance/ErrorCode
9,常见场景,,库存双向同步,https://apidoc.lingxing.com/#/docs/Case/InventorySync
10,常见场景,,STA货件流程说明,https://apidoc.lingxing.com/#/docs/Case/staProcessNew
11,授权,,获取接口令牌-access_token,https://apidoc.lingxing.com/#/docs/Authorization/GetToken
12,授权,,续约接口令牌,https://apidoc.lingxing.com/#/docs/Authorization/RefreshToken
13,基础数据,,查询亚马逊市场列表,https://apidoc.lingxing.com/#/docs/BasicData/AllMarketplace
14,基础数据,,查询亚马逊国家下地区列表,https://apidoc.lingxing.com/#/docs/BasicData/WorldStateLists
15,基础数据,,查询亚马逊店铺列表,https://apidoc.lingxing.com/#/docs/BasicData/SellerLists
16,基础数据,,查询亚马逊概念店铺列表,https://apidoc.lingxing.com/#/docs/BasicData/ConceptSellerLists
17,基础数据,,批量修改店铺名称,https://apidoc.lingxing.com/#/docs/BasicData/SellerBatchRename
18,基础数据,,查询ERP用户信息列表,https://apidoc.lingxing.com/#/docs/BasicData/AccoutLists
19,基础数据,,查询汇率,https://apidoc.lingxing.com/#/docs/BasicData/Currency
20,基础数据,,修改我的汇率,https://apidoc.lingxing.com/#/docs/BasicData/ExchangeRateUpdate
21,基础数据,,下载附件,https://apidoc.lingxing.com/#/docs/BasicData/AttachmentDownload
22,基础数据,,下载定制化附件,https://apidoc.lingxing.com/#/docs/BasicData/CustomAttachmentDownload
23,基础数据,,获取国家下的州、省编码,https://apidoc.lingxing.com/#/docs/BasicData/StateList
24,销售,Listing,查询亚马逊Listing,https://apidoc.lingxing.com/#/docs/Sale/Listing
25,销售,Listing,批量分配Listing负责人,https://apidoc.lingxing.com/#/docs/Sale/UpdatePrincipal
26,销售,Listing,批量添加/编辑Listing配对,https://apidoc.lingxing.com/#/docs/Sale/Productlink
27,销售,Listing,批量修改Listing价格,https://apidoc.lingxing.com/#/docs/Sale/pricingSubmit
28,销售,Listing,批量获取Listing费用,https://apidoc.lingxing.com/#/docs/Sale/GetPrices
29,销售,Listing,查询Listing标记标签列表,https://apidoc.lingxing.com/#/docs/Sale/queryListingRelationTagList
30,销售,Listing,查询Listing标签列表,https://apidoc.lingxing.com/#/docs/Sale/globalTagPageList
31,销售,Listing,添加Listing标签,https://apidoc.lingxing.com/#/docs/Sale/globalTagAddTag
32,销售,Listing,删除Listing标签,https://apidoc.lingxing.com/#/docs/Sale/globalTagRemoveTag
33,销售,Listing,FBA费差异-异常订单-订单,https://apidoc.lingxing.com/#/docs/Sale/fbaFeeDifferenceList
34,销售,Listing,FBA费差异-异常订单-MSKU,https://apidoc.lingxing.com/#/docs/Sale/fbaFeeDifferenceMskuList
35,销售,Listing,查询Listing操作日志列表,https://apidoc.lingxing.com/#/docs/Sale/listingOperateLogPageList
36,销售,Listing,修改B2B价格,https://apidoc.lingxing.com/#/docs/Sale/b2bPriceModifyPrice
37,销售,Listing,Listing新增商品标签,https://apidoc.lingxing.com/#/docs/Sale/AddGoodsTag
38,销售,Listing,Listing删除商品标签,https://apidoc.lingxing.com/#/docs/Sale/DeleteGoodsTag
39,销售,Listing,修改FBM库存&amp;处理时间,https://apidoc.lingxing.com/#/docs/Sale/UpdateFbmInventory
40,销售,Listing,解除Listing配对,https://apidoc.lingxing.com/#/docs/Sale/UnlinkListing
41,销售,Listing,查询调价队列,https://apidoc.lingxing.com/#/docs/Sale/adjustPriceAdjustPriceManual
42,销售,刊登管理,刊登流程说明,https://apidoc.lingxing.com/#/docs/Sale/PublishHelper
43,销售,刊登管理,查询 Amazon 根分类,https://apidoc.lingxing.com/#/docs/Sale/PublishManageCategoryRoot
44,销售,刊登管理,查询 Amazon 子分类,https://apidoc.lingxing.com/#/docs/Sale/PublishManageCategoryChildren
